user_id,signup_date,country,gender,age,subscription_tier,subscription_price
1,2023-03-26T00:00:00.000000,Austria,Male,22,Basic,2.99
2,2023-10-21T00:00:00.000000,Germany,Female,19,Free,0.0
3,2023-09-22T00:00:00.000000,Spain,Male,28,Premium,5.99
4,2023-02-04T00:00:00.000000,Netherlands,Male,20,Basic,2.99
5,2023-11-10T00:00:00.000000,France,Female,32,Free,0.0
6,2023-02-21T00:00:00.000000,Austria,Female,25,Free,0.0
7,2023-03-09T00:00:00.000000,Netherlands,Male,23,Free,0.0
8,2023-05-24T00:00:00.000000,Austria,Male,29,Free,0.0
9,2023-08-16T00:00:00.000000,Spain,Male,37,Free,0.0
10,2023-02-03T00:00:00.000000,Austria,Female,24,Free,0.0
11,2023-05-24T00:00:00.000000,Netherlands,Female,48,Free,0.0
12,2023-01-01T00:00:00.000000,France,Female,42,Basic,2.99
13,2023-11-16T00:00:00.000000,Germany,Male,32,Free,0.0
14,2023-05-30T00:00:00.000000,Germany,Non-Binary,22,Free,0.0
15,2023-02-26T00:00:00.000000,France,Female,38,Free,0.0
16,2023-05-15T00:00:00.000000,Germany,Male,54,Premium,5.99
17,2023-08-13T00:00:00.000000,Netherlands,Female,38,Free,0.0
18,2023-11-12T00:00:00.000000,Austria,Male,41,Basic,2.99
19,2023-07-04T00:00:00.000000,Germany,Female,32,Free,0.0
20,2023-12-24T00:00:00.000000,Austria,Male,30,Free,0.0
21,2023-01-31T00:00:00.000000,France,Male,44,Free,0.0
22,2023-10-20T00:00:00.000000,Austria,Male,30,Free,0.0
23,2023-09-03T00:00:00.000000,Germany,Female,36,Free,0.0
24,2023-10-18T00:00:00.000000,Netherlands,Male,37,Free,0.0
25,2023-08-09T00:00:00.000000,Germany,Female,26,Basic,2.99
26,2023-11-10T00:00:00.000000,Netherlands,Male,27,Premium,5.99
27,2023-08-05T00:00:00.000000,Germany,Male,20,Free,0.0
28,2023-05-02T00:00:00.000000,France,Female,54,Premium,5.99
29,2023-07-19T00:00:00.000000,Austria,Male,30,Free,0.0
30,2023-06-25T00:00:00.000000,Netherlands,Male,33,Free,0.0
31,2023-12-15T00:00:00.000000,Netherlands,Male,23,Free,0.0
32,2023-03-28T00:00:00.000000,Austria,Male,42,Free,0.0
33,2023-09-07T00:00:00.000000,Austria,Female,55,Free,0.0
34,2023-02-17T00:00:00.000000,France,Female,27,Premium,5.99
35,2023-10-26T00:00:00.000000,Netherlands,Male,29,Free,0.0
